7	9	8	2	91	63	18	4	66.47333333333333	48.74
6	3	4	0	42	64	21	1	35.04333333333334	20.14333333333333
6	9	9	1	50	71	21	5	75.31333333333333	48.58
9	0	1	2	84	26	79	5	77.0	49.03333333333333
9	8	10	1	97	49	1	1	35.85	29.95
0	5	10	2	96	14	79	4	67.21	45.91
2	9	1	0	80	78	45	3	57.22666666666667	29.46
10	9	10	1	27	20	63	5	74.09666666666666	50.096666666666664
5	4	0	1	40	37	81	4	65.57666666666667	38.31
0	3	0	2	80	43	11	3	54.89666666666667	36.43
0	3	4	2	100	18	57	5	76.44333333333334	47.94333333333333
0	1	5	2	99	1	16	3	54.67666666666667	37.81
8	9	3	1	86	59	57	5	77.08333333333333	47.01666666666667
4	0	5	2	18	64	32	3	54.23	38.43
0	6	6	1	13	68	10	3	53.873333333333335	34.84
10	10	2	0	0	18	67	5	73.71333333333334	43.21333333333334
10	1	7	0	61	82	38	1	36.77333333333333	21.74
4	10	4	1	45	63	1	5	74.59333333333332	46.96
10	8	9	2	72	63	77	1	37.70666666666666	34.64
10	1	3	2	47	33	50	2	45.15333333333333	35.48666666666667
2	5	8	2	75	8	0	4	63.47666666666667	45.71
8	9	0	1	76	19	30	1	35.16666666666667	26.666666666666668
3	0	2	2	6	99	72	2	46.379999999999995	32.14666666666666
3	7	9	2	37	88	73	4	67.42999999999999	47.16333333333333
7	10	1	2	36	31	46	4	64.15666666666667	46.39
10	0	1	2	62	11	7	3	53.46666666666666	39.46666666666667
8	7	6	2	77	53	43	4	66.38666666666667	47.62
4	2	9	2	45	87	11	3	54.86666666666667	40.1
3	7	2	1	16	99	73	1	36.99666666666666	24.73
3	1	2	0	26	16	96	1	35.550000000000004	17.95
3	0	6	1	70	73	17	3	55.483333333333334	33.15
2	6	8	0	83	35	4	4	64.73666666666666	36.00333333333333
8	8	3	2	25	89	14	2	45.13666666666666	37.203333333333326
7	9	0	2	63	46	32	1	35.53	31.16333333333333
5	1	4	1	40	21	6	1	32.473333333333336	23.573333333333334
